Parameter,RAP < 0 (IQR),0 ? RAP ? 0.4 (IQR) ,RAP > 0.4 (IQR),p-value
RAP,-0.234 (-0.458 – -0.10),0.239 (0.134 – 0.326),0.873 (0.722 – 0.949),3.05E-19
ICP,12.03 (7.70 – 17.30),12.06 (7.89 – 16.75),13.71 (9.70 – 18.14),0.021
AMP,0.913 (0.362 – 1.822),1.081 (0.506 – 2.119),1.93 (1.174 – 3.052),3.94E-09
MAP,90.06 (79.64 – 100.10),89.66 (80.11 – 98.90),89.46 (81.44 – 97.85),0.008
CPP,76.69 (66.38 – 87.20),76.63 (67.04 – 86.90),75.07 (67.58 – 83.53),0.638
PRx,0.271 (-0.078 – 0.638),0.233 (-0.064 – 0.548),0.047 (-0.238 – 0.360),0.035
PAx,-0.147 (-0.423 – 0.107),-0.015 (-0.250 – 0.200),-0.030 (-0.314 – 0.272),0.184
RAC,-0.060 (-0.364 – 0.214),-0.103 (-0.336 – 0.126),-0.485 (-0.739 – -0.131),1.00E-04
rSO2_L,69.29 (62.67 – 76.49),69.03 (62.54 – 76.39),68.02 (62.08 – 74.94),0.093
rSO2_R,71.01 (64.33 – 78.32),71.96 (64.53 – 78.16),71.29 (64.57 – 77.71),0.152
COx_L,0.076 (-0.172 – 0.350),0.058 (-0.159 – 0.298),0.009 (-0.215 – 0.234),0.17
COx_R,0.085 (-0.166 – 0.352),0.066 (-0.150 – 0.301),0.013 (-0.206 – 0.233),0.508
COxA_L,0.115 (-0.140 – 0.402),0.085 (-0.140 – 0.323),0.065 (-0.150 – 0.280),0.669
COxA_R,0.110 (-0.141 – 0.395),0.084 (-0.138 – 0.320),0.059 (-0.146 – 0.268),0.827
PbtO2,24.00 (17.31 – 30.56),21.66 (15.01 – 29.00),24.67 (17.24 – 32.00),0.819
